Time;Tdry;Iet_h;Iet_n;Igl_h;Idir_n;Idif_h;Tdry_mod;Tdry_Ideal;;;
10/1/2002 05;-0,6;0;1415;0;0;0;2,379;-1,371;;;
10/1/2002 06;-0,6;0;1415;0;0;0;2,379;-0,169;;;
10/1/2002 07;0;0;1415;0;0;0;2,379;1,122;;;
10/1/2002 08;0,6;41;1415;12;0;12;2,378;2,415;;;
10/1/2002 09;1,2;220;1415;95;57;86;2,378;3,622;;;
10/1/2002 10;1,8;374;1415;208;418;97;2,378;4,66;;;
10/1/2002 11;2,5;475;1415;292;637;77;2,379;5,459;;;
10/1/2002 12;3,1;519;1415;329;686;76;2,379;5,964;;;
10/1/2002 13;3;500;1415;313;668;76;2,38;6,14;;;
10/1/2002 14;3;422;1415;247;577;74;2,382;5,976;;;
10/1/2002 15;2,9;288;1415;142;335;74;2,383;5,483;;;
10/1/2002 16;1,7;109;1415;32;39;29;2,385;4,694;;;
10/1/2002 17;0,4;0;1415;0;0;0;2,387;3,663;;;
10/1/2002 18;-0,8;0;1415;0;0;0;2,388;2,46;;;
10/1/2002 19;-1,2;0;1415;0;0;0;2,389;1,167;;;
10/1/2002 20;-1,6;0;1415;0;0;0;2,39;-0,129;;;
10/1/2002 21;-2;0;1415;0;0;0;2,391;-1,339;;;
10/1/2002 22;-2,5;0;1415;0;0;0;2,392;-2,381;;;
10/1/2002 23;-3;0;1415;0;0;0;2,393;-3,183;;;
11/1/2002 00;-3,5;0;1414;0;0;0;2,393;-3,693;;;
11/1/2002 01;-3,6;0;1414;0;0;0;2,394;-3,874;;;
11/1/2002 02;-2,9;0;1414;0;0;0;2,394;-3,714;;;
11/1/2002 03;-2,1;0;1414;0;0;0;2,395;-3,225;;;
11/1/2002 04;-2,6;0;1414;0;0;0;2,395;-2,44;;;
11/1/2002 05;-3,1;0;1414;0;0;0;2,395;-1,413;;;
11/1/2002 06;-3,6;0;1414;0;0;0;2,395;-0,213;;;
11/1/2002 07;-3,4;0;1414;0;0;0;2,394;1,078;;;
11/1/2002 08;-3,2;42;1414;8;0;8;2,395;2,372;;;
11/1/2002 09;-3;222;1414;60;77;48;2,395;3,58;;;
11/1/2002 10;-2,1;376;1414;167;187;117;2,395;4,621;;;
11/1/2002 11;-1,1;478;1414;269;396;134;2,396;5,423;;;
11/1/2002 12;-0,2;522;1414;324;567;114;2,396;5,932;;;
11/1/2002 13;0;504;1414;313;649;80;2,397;6,113;;;
11/1/2002 14;0,3;426;1414;249;561;80;2,398;5,953;;;
11/1/2002 15;0,5;292;1414;146;342;74;2,4;5,464;;;
11/1/2002 16;-0,5;113;1414;33;40;30;2,401;4,679;;;
11/1/2002 17;-1,4;0;1414;0;0;0;2,402;3,65;;;
11/1/2002 18;-2,4;0;1414;0;0;0;2,402;2,449;;;
11/1/2002 19;-2,7;0;1414;0;0;0;2,403;1,156;;;
11/1/2002 20;-2,9;0;1414;0;0;0;2,404;-0,14;;;
11/1/2002 21;-3,2;0;1414;0;0;0;2,404;-1,351;;;
11/1/2002 22;-3,1;0;1414;0;0;0;2,405;-2,396;;;
11/1/2002 23;-3;0;1414;0;0;0;2,405;-3,201;;;
12/1/2002 00;-2,9;0;1414;0;0;0;2,404;-3,714;;;
12/1/2002 01;-2,3;0;1414;0;0;0;2,404;-3,899;;;
12/1/2002 02;-1,6;0;1414;0;0;0;2,403;-3,744;;;
12/1/2002 03;-1;0;1414;0;0;0;2,402;-3,259;;;
12/1/2002 04;-0,9;0;1414;0;0;0;2,401;-2,477;;;
12/1/2002 05;-0,7;0;1414;0;0;0;2,4;-1,452;;;
12/1/2002 06;-0,6;0;1414;0;0;0;2,398;-0,253;;;
12/1/2002 07;-0,2;0;1414;0;0;0;2,396;1,037;;;
12/1/2002 08;0,1;43;1414;3;0;3;2,395;2,332;;;
12/1/2002 09;0,5;224;1414;24;0;24;2,393;3,542;;;
12/1/2002 10;1,2;378;1414;53;0;53;2,391;4,585;;;
12/1/2002 11;1,8;481;1414;74;0;74;2,39;5,391;;;
12/1/2002 12;2,5;525;1414;83;0;83;2,389;5,903;;;
12/1/2002 13;2,8;508;1414;103;0;103;2,387;6,088;;;
12/1/2002 14;3,1;430;1414;99;0;99;2,386;5,933;;;
12/1/2002 15;3,4;297;1414;68;0;68;2,385;5,448;;;
12/1/2002 16;2,8;118;1414;16;0;16;2,384;4,666;;;
12/1/2002 17;2,2;1;1414;0;0;0;2,382;3,64;;;
12/1/2002 18;1,6;0;1414;0;0;0;2,381;2,44;;;
12/1/2002 19;1,4;0;1414;0;0;0;2,379;1,148;;;
12/1/2002 20;1,2;0;1414;0;0;0;2,378;-0,148;;;
12/1/2002 21;1;0;1414;0;0;0;2,376;-1,361;;;
12/1/2002 22;0,8;0;1414;0;0;0;2,375;-2,407;;;
12/1/2002 23;0,7;0;1414;0;0;0;2,373;-3,216;;;
13/1/2002 00;0,5;0;1414;0;0;0;2,371;-3,733;;;
13/1/2002 01;-0,9;0;1414;0;0;0;2,369;-3,922;;;
13/1/2002 02;-2,4;0;1414;0;0;0;2,368;-3,77;;;
13/1/2002 03;-3,8;0;1414;0;0;0;2,366;-3,289;;;
13/1/2002 04;-3,5;0;1414;0;0;0;2,365;-2,51;;;
13/1/2002 05;-3,3;0;1414;0;0;0;2,363;-1,488;;;
13/1/2002 06;-3;0;1414;0;0;0;2,362;-0,291;;;
13/1/2002 07;-2,1;0;1414;0;0;0;2,36;0,999;;;
13/1/2002 08;-1,3;44;1414;5;0;5;2,359;2,294;;;
13/1/2002 09;-0,4;226;1414;25;0;25;2,358;3,506;;;
13/1/2002 10;0,2;381;1414;54;0;54;2,357;4,552;;;
13/1/2002 11;0,7;484;1414;75;0;75;2,356;5,361;;;
13/1/2002 12;1,3;529;1414;85;0;85;2,356;5,877;;;
13/1/2002 13;1,1;512;1414;81;0;81;2,356;6,067;;;
13/1/2002 14;0,9;434;1414;64;0;64;2,356;5,916;;;
13/1/2002 15;0,7;301;1414;38;0;38;2,357;5,434;;;
13/1/2002 16;1,1;122;1414;9;0;9;2,356;4,656;;;
13/1/2002 17;1,6;1;1414;0;0;0;2,356;3,633;;;
13/1/2002 18;2;0;1414;0;0;0;2,354;2,435;;;
13/1/2002 19;2,1;0;1414;0;0;0;2,353;1,144;;;
13/1/2002 20;2,1;0;1414;0;0;0;2,352;-0,153;;;
13/1/2002 21;2,2;0;1414;0;0;0;2,351;-1,367;;;
13/1/2002 22;2,6;0;1414;0;0;0;2,349;-2,416;;;
13/1/2002 23;3;0;1414;0;0;0;2,348;-3,228;;;
14/1/2002 00;3,4;0;1414;0;0;0;2,346;-3,749;;;
14/1/2002 01;3,8;0;1414;0;0;0;2,344;-3,942;;;
14/1/2002 02;4,3;0;1414;0;0;0;2,342;-3,794;;;
